                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4279,                 5.2155,                 4.3782,                0.00068,                0.15428,                0.00081,                0.00025,                 4.7083,                 5.5519,                 4.1375,                 0.0775,                 0.0025,                 0.0025
                      1,                 4.2259,                 4.8929,                 4.2356,                0.00047,                0.22781,                0.00078,                0.00021,                 4.6923,                 5.3809,                 4.1262,                0.05405,              0.0050495,              0.0050495
                      2,                 4.0285,                 4.5979,                 4.1425,                0.00047,                0.22648,                 0.0008,                0.00022,                 4.6948,                 5.2682,                 4.1312,               0.030548,              0.0075475,              0.0075475
                      3,                 3.7553,                 4.4634,                 3.9916,                0.00043,                0.20311,                0.00069,                 0.0002,                 4.7138,                 5.1664,                 4.1538,               0.009703,               0.009703,               0.009703
                      4,                 3.3778,                 4.0056,                 3.7171,                0.05907,                0.06372,                0.02298,                 0.0065,                 3.7514,                 4.3644,                 3.6822,               0.009703,               0.009703,               0.009703
                      5,                 3.0902,                 3.5808,                 3.4758,                0.02723,                0.10799,                0.01575,                0.00477,                 3.3657,                 19.873,                 4.9561,               0.009604,               0.009604,               0.009604
                      6,                 2.8784,                 3.2642,                  3.212,                0.17633,                0.01185,                0.01819,                0.00542,                 3.1084,                 4.6335,                 4.3427,               0.009505,               0.009505,               0.009505
                      7,                 2.7443,                 3.0873,                 3.0448,                0.13813,                0.25245,                0.07584,                0.02243,                 2.8669,                 47.964,                  4.358,               0.009406,               0.009406,               0.009406
                      8,                 2.6611,                 2.8142,                 2.9172,                0.58881,                0.14894,                 0.1102,                0.03523,                 2.6067,                 8.8352,                 2.8928,               0.009307,               0.009307,               0.009307
                      9,                  2.608,                 2.7104,                 2.9039,                0.58722,                0.17168,                0.10312,                0.03907,                 2.4737,                 5.0784,                 2.7491,               0.009208,               0.009208,               0.009208
                     10,                 2.5122,                 2.4763,                 2.7761,                0.20971,                0.32551,                0.13775,                0.04548,                 2.5507,                 2.8785,                 2.8638,               0.009109,               0.009109,               0.009109
                     11,                 2.4009,                 2.5328,                 2.7073,                0.22932,                0.47988,                0.18309,                0.05848,                 2.4636,                 4.4797,                 2.7833,                0.00901,                0.00901,                0.00901
                     12,                 2.3127,                 2.2997,                 2.6404,                0.15352,                0.11289,                0.07234,                0.02107,                 2.3906,                 4.4098,                 2.6839,               0.008911,               0.008911,               0.008911
                     13,                 2.2804,                 2.2275,                 2.5761,                0.43603,                0.43939,                0.37938,                0.15257,                 2.1789,                  2.086,                 2.4004,               0.008812,               0.008812,               0.008812
                     14,                 2.2057,                 2.1662,                 2.5071,                0.36999,                0.34311,                0.26429,                0.10036,                 2.2432,                 2.6909,                 2.4454,               0.008713,               0.008713,               0.008713
                     15,                 2.1309,                  2.037,                 2.4137,                0.35257,                0.30412,                0.27082,                0.12715,                 2.1798,                 2.7401,                 2.4857,               0.008614,               0.008614,               0.008614
                     16,                 2.0545,                  1.914,                 2.3644,                0.35473,                 0.5185,                0.46485,                0.20452,                 1.9934,                 2.0043,                 2.2574,               0.008515,               0.008515,               0.008515
